"id","title","author","genre","year","description"
"2125","Travels","Michael Crichton","Nonfiction;Travel;Biography;Autobiography","2002","A book titled Travels written by Michael Crichton belonging to the Nonfiction;Travel;Biography;Autobiography genre."
"2126","Rising Sun","Michael Crichton","Fiction;Thriller;Mystery;Suspense;Mystery","2004","A book titled Rising Sun written by Michael Crichton belonging to the Fiction;Thriller;Mystery;Suspense;Mystery genre."
"2127","The Andromeda Strain (Andromeda  #1)","Michael Crichton","Science Fiction;Fiction;Thriller;Science Fiction Fantasy;Mystery;Horror;Suspense;Novels;Classics;Audiobook","2003","A book titled The Andromeda Strain (Andromeda  #1) written by Michael Crichton belonging to the Science Fiction;Fiction;Thriller;Science Fiction Fantasy;Mystery;Horror;Suspense;Novels;Classics;Audiobook genre."
"2128","Congo","Michael Crichton","Fiction;Science Fiction;Thriller;Adventure;Horror;Mystery;Suspense;Cultural","2003","A book titled Congo written by Michael Crichton belonging to the Fiction;Science Fiction;Thriller;Adventure;Horror;Mystery;Suspense;Cultural genre."
"2129","Eaters of the Dead","Michael Crichton","Fiction;Historical","2006","A book titled Eaters of the Dead written by Michael Crichton belonging to the Fiction;Historical genre."
"2130","The Michael Crichton Collection: Airframe / The Lost World / Timeline","Michael Crichton/Stephen Lang/Anthony Heald/Blair Brown","Fiction","2006","A book titled The Michael Crichton Collection: Airframe / The Lost World / Timeline written by Michael Crichton/Stephen Lang/Anthony Heald/Blair Brown belonging to the Fiction genre."
"2131","Jurassic Park (Jurassic Park  #1)","Michael Crichton","Science Fiction;Fiction;Thriller;Adventure;Fantasy;Horror;Classics;Science Fiction Fantasy;Animals","2006","A book titled Jurassic Park (Jurassic Park  #1) written by Michael Crichton belonging to the Science Fiction;Fiction;Thriller;Adventure;Fantasy;Horror;Classics;Science Fiction Fantasy;Animals genre."
"2132","The Terminal Man","Michael Crichton","Fiction;Science Fiction;Thriller;Suspense;Horror;Mystery;Novels;Science Fiction Fantasy;Medical;Thriller","2002","A book titled The Terminal Man written by Michael Crichton belonging to the Fiction;Science Fiction;Thriller;Suspense;Horror;Mystery;Novels;Science Fiction Fantasy;Medical;Thriller genre."
"2133","Five Patients","Michael Crichton","Nonfiction;Medical;Health","1989","A book titled Five Patients written by Michael Crichton belonging to the Nonfiction;Medical;Health genre."
"2134","Twister","Michael Crichton/Anne-Marie Martin","Fiction;Thriller;Science Fiction;Adventure;Media Tie In;Culture","1999","A book titled Twister written by Michael Crichton/Anne-Marie Martin belonging to the Fiction;Thriller;Science Fiction;Adventure;Media Tie In;Culture genre."
"2135","Peter Pan and Other Plays","J.M. Barrie/Peter Hollindale","Plays;Classics;Drama;Fantasy;Fiction;Literature","1999","A book titled Peter Pan and Other Plays written by J.M. Barrie/Peter Hollindale belonging to the Plays;Classics;Drama;Fantasy;Fiction;Literature genre."
"2136","Management Information Systems: Managing the Digital Firm","Kenneth C. Laudon/Jane P. Laudon","Business;Nonfiction;Textbooks;Business","2005","A book titled Management Information Systems: Managing the Digital Firm written by Kenneth C. Laudon/Jane P. Laudon belonging to the Business;Nonfiction;Textbooks;Business genre."
"2137","Holy the Firm","Annie Dillard","Nonfiction;Writing","1998","A book titled Holy the Firm written by Annie Dillard belonging to the Nonfiction;Writing genre."
"2138","Persian Mirrors: The Elusive Face of Iran","Elaine Sciolino","Cultural","2005","A book titled Persian Mirrors: The Elusive Face of Iran written by Elaine Sciolino belonging to the Cultural genre."
"2139","Plays: Mrs Warren's Profession/Man and Superman/Major Barbara/Pygmalion","George Bernard Shaw/Sandie Byrne","Plays;Drama;Classics;Literature;Plays","2002","A book titled Plays: Mrs Warren's Profession/Man and Superman/Major Barbara/Pygmalion written by George Bernard Shaw/Sandie Byrne belonging to the Plays;Drama;Classics;Literature;Plays genre."
"2140","Pygmalion & My Fair Lady","George Bernard Shaw/Alan Jay Lerner","Plays;Classics;Fiction;Drama;Plays","2006","A book titled Pygmalion & My Fair Lady written by George Bernard Shaw/Alan Jay Lerner belonging to the Plays;Classics;Fiction;Drama;Plays genre."
"2141","Saint Joan/Major Barbara/Androcles and the Lion","George Bernard Shaw","Drama;Plays;European Literature","1979","A book titled Saint Joan/Major Barbara/Androcles and the Lion written by George Bernard Shaw belonging to the Drama;Plays;European Literature genre."
"2142","Pygmalion","George Bernard Shaw","Classics;Plays;Fiction;Drama;Plays","1994","A book titled Pygmalion written by George Bernard Shaw belonging to the Classics;Plays;Fiction;Drama;Plays genre."
"2143","Plays Pleasant","George Bernard Shaw/Dan H. Laurence/W.J. McCormack","Plays;Drama;Classics;Fiction;Literature","2003","A book titled Plays Pleasant written by George Bernard Shaw/Dan H. Laurence/W.J. McCormack belonging to the Plays;Drama;Classics;Fiction;Literature genre."
"2144","The Metamorphosis","Peter Kuper/Franz Kafka/Kerstin Hasenpusch","Sequential Art","2003","A book titled The Metamorphosis written by Peter Kuper/Franz Kafka/Kerstin Hasenpusch belonging to the Sequential Art genre."
"2145","The Metamorphosis (Graphic Novel Adaptation)","Peter Kuper/Franz Kafka/Kerstin Hasenpusch","Sequential Art","2004","A book titled The Metamorphosis (Graphic Novel Adaptation) written by Peter Kuper/Franz Kafka/Kerstin Hasenpusch belonging to the Sequential Art genre."
"2146","The Metamorphosis","Franz Kafka/Stanley Corngold","Classics;Fiction;Fantasy;Literature;Philosophy;Short Stories;Academic","1996","A book titled The Metamorphosis written by Franz Kafka/Stanley Corngold belonging to the Classics;Fiction;Fantasy;Literature;Philosophy;Short Stories;Academic genre."
"2147","The Metamorphosis and Other Stories","Franz Kafka/Jason Baker/Donna Freed","Classics;Fiction;Short Stories;Literature;Fantasy;Philosophy;European Literature","2003","A book titled The Metamorphosis and Other Stories written by Franz Kafka/Jason Baker/Donna Freed belonging to the Classics;Fiction;Short Stories;Literature;Fantasy;Philosophy;European Literature genre."
"2148","The Metamorphosis and Other Stories","Franz Kafka/Stanley Appelbaum","Fiction;Classics;Short Stories;Literature;Philosophy;Horror;Fantasy;European Literature","1996","A book titled The Metamorphosis and Other Stories written by Franz Kafka/Stanley Appelbaum belonging to the Fiction;Classics;Short Stories;Literature;Philosophy;Horror;Fantasy;European Literature genre."
"2149","Antigone's Claim: Kinship Between Life and Death","Judith Butler","Philosophy;Nonfiction;Philosophy","2002","A book titled Antigone's Claim: Kinship Between Life and Death written by Judith Butler belonging to the Philosophy;Nonfiction;Philosophy genre."
"2150","Gulliver's Travels","Jonathan Swift/Robert DeMaria Jr.","Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics","2003","A book titled Gulliver's Travels written by Jonathan Swift/Robert DeMaria Jr. belonging to the Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics genre."
"2151","Gulliver's Travels","Jonathan Swift/Claude Julien Rawson/Ian Higgins","Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics","2005","A book titled Gulliver's Travels written by Jonathan Swift/Claude Julien Rawson/Ian Higgins belonging to the Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics genre."
"2152","Gulliver's Travels","Jonathan Swift/David Case","Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics","2006","A book titled Gulliver's Travels written by Jonathan Swift/David Case belonging to the Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics genre."
"2153","Gulliver's Travels","Gill Harvey/Jonathan Swift","Classics;Fiction;Fantasy;Childrens;Literature;Academic","2008","A book titled Gulliver's Travels written by Gill Harvey/Jonathan Swift belonging to the Classics;Fiction;Fantasy;Childrens;Literature;Academic genre."
"2154","Gulliver's Travels","Martin Woodside/Jamel Akib/Arthur Pober/Jonathan Swift","Classics;Fiction;Fantasy;Childrens;Academic","2006","A book titled Gulliver's Travels written by Martin Woodside/Jamel Akib/Arthur Pober/Jonathan Swift belonging to the Classics;Fiction;Fantasy;Childrens;Academic genre."
"2155","Gulliver's Travels","Jonathan Swift/Robert Hardy","Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics","2001","A book titled Gulliver's Travels written by Jonathan Swift/Robert Hardy belonging to the Classics;Fiction;Fantasy;Adventure;Literature;Novels;Classics genre."
"2156","Ahab's Wife  or The Star-Gazer","Sena Jeter Naslund","Fiction;Historical","2005","A book titled Ahab's Wife  or The Star-Gazer written by Sena Jeter Naslund belonging to the Fiction;Historical genre."
"2157","Fear and Loathing in Las Vegas","Hunter S. Thompson/Ralph Steadman","Fiction;Classics;Humor;Writing","2005","A book titled Fear and Loathing in Las Vegas written by Hunter S. Thompson/Ralph Steadman belonging to the Fiction;Classics;Humor;Writing genre."
"2158","Fear and Loathing on the Campaign Trail '72","Hunter S. Thompson","Nonfiction;Politics;History;Writing","2006","A book titled Fear and Loathing on the Campaign Trail '72 written by Hunter S. Thompson belonging to the Nonfiction;Politics;History;Writing genre."
"2159","Fear and Loathing in Las Vegas","Hunter S. Thompson/Ralph Steadman","Fiction;Classics;Humor;Writing","1982","A book titled Fear and Loathing in Las Vegas written by Hunter S. Thompson/Ralph Steadman belonging to the Fiction;Classics;Humor;Writing genre."
"2160","Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist  1968-1976","Hunter S. Thompson","Nonfiction;Writing","2001","A book titled Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist  1968-1976 written by Hunter S. Thompson belonging to the Nonfiction;Writing genre."
"2161","Cliffsnotes on Beckett's Waiting for Godot and Other Plays","James Lamar Roberts/Jeffrey Fisher","Study Aids","1980","A book titled Cliffsnotes on Beckett's Waiting for Godot and Other Plays written by James Lamar Roberts/Jeffrey Fisher belonging to the Study Aids genre."
"2162","The Joy Luck Club","Amy Tan","Fiction;Historical","2006","A book titled The Joy Luck Club written by Amy Tan belonging to the Fiction;Historical genre."
"2163","Dr. Seuss's ABC","Dr. Seuss","Childrens;Childrens","1996","A book titled Dr. Seuss's ABC written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2164","Dr. Seuss's Sleep Book","Dr. Seuss","Childrens;Childrens","2012","A book titled Dr. Seuss's Sleep Book written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2165","Happy Birthday to You!","Dr. Seuss","Childrens","1959","A book titled Happy Birthday to You! written by Dr. Seuss belonging to the Childrens genre."
"2166","McElligot's Pool","Dr. Seuss","Childrens","1947","A book titled McElligot's Pool written by Dr. Seuss belonging to the Childrens genre."
"2167","The Cat in the Hat","Dr. Seuss","Childrens;Childrens","1997","A book titled The Cat in the Hat written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2168","Horton Hears a Who!","Dr. Seuss","Childrens;Childrens","1990","A book titled Horton Hears a Who! written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2169","The 500 Hats of Bartholomew Cubbins","Dr. Seuss","Childrens;Childrens","1989","A book titled The 500 Hats of Bartholomew Cubbins written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2170","Oh Say Can You Say?","Dr. Seuss","Childrens;Childrens","2005","A book titled Oh Say Can You Say? written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2171","The Lorax","Dr. Seuss","Childrens;Childrens","1998","A book titled The Lorax written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2172","I Can Read With My Eyes Shut!","Dr. Seuss","Childrens","2003","A book titled I Can Read With My Eyes Shut! written by Dr. Seuss belonging to the Childrens genre."
"2173","¡Horton escucha a quién!","Dr. Seuss/Yanitzia Canetti","Childrens;Childrens","2003","A book titled ¡Horton escucha a quién! written by Dr. Seuss/Yanitzia Canetti belonging to the Childrens;Childrens genre."
"2174","The Cat in the Hat and Other Dr. Seuss Favorites","Dr. Seuss/Various","Childrens;Childrens","2003","A book titled The Cat in the Hat and Other Dr. Seuss Favorites written by Dr. Seuss/Various belonging to the Childrens;Childrens genre."
"2175","Daisy-Head Mayzie","Dr. Seuss","Childrens","1995","A book titled Daisy-Head Mayzie written by Dr. Seuss belonging to the Childrens genre."
"2176","Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel","Richard H. Minear/Art Spiegelman/Dr. Seuss","History;Nonfiction;Art;Sequential Art","2001","A book titled Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel written by Richard H. Minear/Art Spiegelman/Dr. Seuss belonging to the History;Nonfiction;Art;Sequential Art genre."
"2177","Dr. Seuss's ABC (Book & CD)","Dr. Seuss","Childrens;Childrens","2005","A book titled Dr. Seuss's ABC (Book & CD) written by Dr. Seuss belonging to the Childrens;Childrens genre."
"2178","Cattus Petasatus: The Cat in the Hat in Latin","Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg","Childrens;Childrens","2005","A book titled Cattus Petasatus: The Cat in the Hat in Latin written by Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg belonging to the Childrens;Childrens genre."
"2179","Ten Apples Up On Top!","Theo LeSieg/Dr. Seuss/Roy McKie","Childrens","2003","A book titled Ten Apples Up On Top! written by Theo LeSieg/Dr. Seuss/Roy McKie belonging to the Childrens genre."
"2180","The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwoods","Julia Butterfly Hill","Nonfiction;Autobiography","2001","A book titled The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwoods written by Julia Butterfly Hill belonging to the Nonfiction;Autobiography genre."
"2181","Pale Fire","Vladimir Nabokov","Fiction;Classics;Poetry;Literature;Cultural","2000","A book titled Pale Fire written by Vladimir Nabokov belonging to the Fiction;Classics;Poetry;Literature;Cultural genre."
"2182","Nabokov's Pale Fire: The Magic of Artistic Discovery","Brian Boyd","Nonfiction;Criticism;Literature;Art;Criticism","2001","A book titled Nabokov's Pale Fire: The Magic of Artistic Discovery written by Brian Boyd belonging to the Nonfiction;Criticism;Literature;Art;Criticism genre."
"2183","Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay","Vladimir Nabokov/Brian Boyd","Fiction;Literature;Classics;Novels;Literature","1996","A book titled Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay written by Vladimir Nabokov/Brian Boyd belonging to the Fiction;Literature;Classics;Novels;Literature genre."
"2184","A Friend of the Earth","T. Coraghessan Boyle","Fiction;Science Fiction;Science Fiction","2001","A book titled A Friend of the Earth written by T. Coraghessan Boyle belonging to the Fiction;Science Fiction;Science Fiction genre."
"2185","The Year of Magical Thinking","Joan Didion","Nonfiction;Autobiography","2007","A book titled The Year of Magical Thinking written by Joan Didion belonging to the Nonfiction;Autobiography genre."
"2186","Seduction and Betrayal: Women and Literature","Elizabeth Hardwick/Joan Didion","Nonfiction;Writing","2001","A book titled Seduction and Betrayal: Women and Literature written by Elizabeth Hardwick/Joan Didion belonging to the Nonfiction;Writing genre."
"2187","After Henry","Joan Didion","Writing","1993","A book titled After Henry written by Joan Didion belonging to the Writing genre."
"2188","O Ano do Pensamento Mágico","Joan Didion","Nonfiction;Autobiography","2006","A book titled O Ano do Pensamento Mágico written by Joan Didion belonging to the Nonfiction;Autobiography genre."
"2189","Another Day in Paradise: The Fourth Sherman's Lagoon Collection","Jim Toomey","Humor;Sequential Art","2001","A book titled Another Day in Paradise: The Fourth Sherman's Lagoon Collection written by Jim Toomey belonging to the Humor;Sequential Art genre."
"2190","Another Day in Cubicle Paradise","Scott Adams","Humor;Sequential Art","2002","A book titled Another Day in Cubicle Paradise written by Scott Adams belonging to the Humor;Sequential Art genre."
"2191","Moby Dick","Herman Melville","Classics;Fiction;Literature;Adventure;Historical","1994","A book titled Moby Dick written by Herman Melville belonging to the Classics;Fiction;Literature;Adventure;Historical genre."
"2192","Moby-Dick","Herman Melville/Nathaniel Philbrick","Classics;Fiction;Literature;Adventure;Historical","2001","A book titled Moby-Dick written by Herman Melville/Nathaniel Philbrick belonging to the Classics;Fiction;Literature;Adventure;Historical genre."
"2193","Moby-Dick; or  The Whale","Herman Melville/Rockwell Kent/Elizabeth Hardwick","Classics;Fiction;Literature;Adventure;Historical","2000","A book titled Moby-Dick; or  The Whale written by Herman Melville/Rockwell Kent/Elizabeth Hardwick belonging to the Classics;Fiction;Literature;Adventure;Historical genre."
"2194","Moby Dick  or The Whale","Herman Melville/Harrison Hayford/Hershel Parker","Classics;Fiction;Literature;Adventure;Historical","2001","A book titled Moby Dick  or The Whale written by Herman Melville/Harrison Hayford/Hershel Parker belonging to the Classics;Fiction;Literature;Adventure;Historical genre."
"2195","The Girl in the Flammable Skirt","Aimee Bender","Short Stories;Fiction;Magical Realism;Fantasy;Literary Fiction;Contemporary;Adult Fiction;Speculative Fiction;Short Stories","1999","A book titled The Girl in the Flammable Skirt written by Aimee Bender belonging to the Short Stories;Fiction;Magical Realism;Fantasy;Literary Fiction;Contemporary;Adult Fiction;Speculative Fiction;Short Stories genre."
"2196","Planet of Slums","Mike  Davis","Nonfiction;Politics;History;Economics;Sociology;Cities","2006","A book titled Planet of Slums written by Mike  Davis belonging to the Nonfiction;Politics;History;Economics;Sociology;Cities genre."
"2197","Late Victorian Holocausts: El Niño Famines and the Making of the Third World","Mike  Davis","History;Nonfiction;Politics;Economics;Environment;Cultural","2002","A book titled Late Victorian Holocausts: El Niño Famines and the Making of the Third World written by Mike  Davis belonging to the History;Nonfiction;Politics;Economics;Environment;Cultural genre."
"2198","No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border","Justin Akers Chacón/Mike  Davis","Nonfiction;Politics;Social Movements","2006","A book titled No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border written by Justin Akers Chacón/Mike  Davis belonging to the Nonfiction;Politics;Social Movements genre."
"2199","Days Between Stations","Steve Erickson","Fiction;Science Fiction;Fantasy;Magical Realism;Novels;Mystery;Literature","2005","A book titled Days Between Stations written by Steve Erickson belonging to the Fiction;Science Fiction;Fantasy;Magical Realism;Novels;Mystery;Literature genre."
"2200","The Bourne Identity (Jason Bourne  #1)","Robert Ludlum","Fiction;Thriller;Mystery;Suspense;Spy Thriller","2005","A book titled The Bourne Identity (Jason Bourne  #1) written by Robert Ludlum belonging to the Fiction;Thriller;Mystery;Suspense;Spy Thriller genre."
"2201","Little Plum","Rumer Godden/Jean Primrose","Childrens;Fiction;Childrens","1987","A book titled Little Plum written by Rumer Godden/Jean Primrose belonging to the Childrens;Fiction;Childrens genre."
"2202","Betsy's Wedding (Betsy-Tacy  #10)","Maud Hart Lovelace/Vera Neville","Classics;Young Adult;Historical","1996","A book titled Betsy's Wedding (Betsy-Tacy  #10) written by Maud Hart Lovelace/Vera Neville belonging to the Classics;Young Adult;Historical genre."
"2203","Betsy and the Great World (Betsy-Tacy  #9)","Maud Hart Lovelace/Vera Neville","Classics;Young Adult;Fiction;Historical","1996","A book titled Betsy and the Great World (Betsy-Tacy  #9) written by Maud Hart Lovelace/Vera Neville belonging to the Classics;Young Adult;Fiction;Historical genre."
"2204","Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3)","Maud Hart Lovelace/Lois Lenski","Fiction;Childrens;Classics;Historical","2000","A book titled Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3) written by Maud Hart Lovelace/Lois Lenski belonging to the Fiction;Childrens;Classics;Historical genre."
"2205","Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series","Julie A. Schrader","Nonfiction;Biography;History","2002","A book titled Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series written by Julie A. Schrader belonging to the Nonfiction;Biography;History genre."
"2206","Early Candlelight","Maud Hart Lovelace/Rhoda R. Gilman","Historical","1992","A book titled Early Candlelight written by Maud Hart Lovelace/Rhoda R. Gilman belonging to the Historical genre."
"2207","Betsy and Joe (Betsy-Tacy  #8)","Maud Hart Lovelace/Vera Neville","Classics;Fiction;Young Adult;Historical","1995","A book titled Betsy and Joe (Betsy-Tacy  #8) written by Maud Hart Lovelace/Vera Neville belonging to the Classics;Fiction;Young Adult;Historical genre."
"2208","Betsy Was a Junior (Betsy-Tacy  #7)","Maud Hart Lovelace/Vera Neville","Classics;Historical","1995","A book titled Betsy Was a Junior (Betsy-Tacy  #7) written by Maud Hart Lovelace/Vera Neville belonging to the Classics;Historical genre."
"2209","Betsy and Tacy Go Downtown (Betsy-Tacy  #4)","Maud Hart Lovelace/Lois Lenski","Fiction;Childrens;Classics;Historical","1943","A book titled Betsy and Tacy Go Downtown (Betsy-Tacy  #4) written by Maud Hart Lovelace/Lois Lenski belonging to the Fiction;Childrens;Classics;Historical genre."
"2210","Emily of Deep Valley (Deep Valley  #2)","Maud Hart Lovelace/Vera Neville","Classics;Fiction;Young Adult;Historical","2000","A book titled Emily of Deep Valley (Deep Valley  #2) written by Maud Hart Lovelace/Vera Neville belonging to the Classics;Fiction;Young Adult;Historical genre."
"2211","Betsy-Tacy (Betsy-Tacy  #1)","Maud Hart Lovelace/Lois Lenski","Classics;Childrens;Fiction;Historical","2007","A book titled Betsy-Tacy (Betsy-Tacy  #1) written by Maud Hart Lovelace/Lois Lenski belonging to the Classics;Childrens;Fiction;Historical genre."
"2212","Five Little Peppers and How They Grew (Five Little Peppers  #1)","Margaret Sidney","Classics;Fiction;Childrens;Historical","2006","A book titled Five Little Peppers and How They Grew (Five Little Peppers  #1) written by Margaret Sidney belonging to the Classics;Fiction;Childrens;Historical genre."
"2213","Five Little Peppers at School","Margaret Sidney/Barbara Cooney","Fiction;Childrens;Classics;Historical","1988","A book titled Five Little Peppers at School written by Margaret Sidney/Barbara Cooney belonging to the Fiction;Childrens;Classics;Historical genre."
"2214","All-of-a-Kind Family Uptown (All-of-a-Kind-Family  #4)","Sydney Taylor","Historical","2001","A book titled All-of-a-Kind Family Uptown (All-of-a-Kind-Family  #4) written by Sydney Taylor belonging to the Historical genre."
"2215","All-of-a-Kind Family (All-of-a-Kind-Family  #1)","Sydney Taylor","Historical","2005","A book titled All-of-a-Kind Family (All-of-a-Kind-Family  #1) written by Sydney Taylor belonging to the Historical genre."
"2216","Winter Cottage","Carol Ryrie Brink","Historical","1974","A book titled Winter Cottage written by Carol Ryrie Brink belonging to the Historical genre."
"2217","Eddie's Valuable Property","Carolyn Haywood","Childrens;Fiction","1975","A book titled Eddie's Valuable Property written by Carolyn Haywood belonging to the Childrens;Fiction genre."
"2218","Empire (Empire  #1)","Orson Scott Card","Science Fiction;Fiction;Thriller;Science Fiction Fantasy;Politics;Fantasy;War","2006","A book titled Empire (Empire  #1) written by Orson Scott Card belonging to the Science Fiction;Fiction;Thriller;Science Fiction Fantasy;Politics;Fantasy;War genre."
"2219","Treason","Orson Scott Card","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Audiobook;Adult;Speculative Fiction;Novels;Space;Science Fiction","2006","A book titled Treason written by Orson Scott Card belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Audiobook;Adult;Speculative Fiction;Novels;Space;Science Fiction genre."
"2220","First Meetings in Ender's Universe (Ender's Saga  #0.5)","Orson Scott Card","Science Fiction;Fiction;Short Stories;Young Adult;Science Fiction Fantasy;Fantasy;Audiobook;Adult;Space;Novels","2004","A book titled First Meetings in Ender's Universe (Ender's Saga  #0.5) written by Orson Scott Card belonging to the Science Fiction;Fiction;Short Stories;Young Adult;Science Fiction Fantasy;Fantasy;Audiobook;Adult;Space;Novels genre."
"2221","Sarah (Women of Genesis  #1)","Orson Scott Card","Historical","2001","A book titled Sarah (Women of Genesis  #1) written by Orson Scott Card belonging to the Historical genre."
"2222","Rachel & Leah (Women of Genesis  #3)","Orson Scott Card","Historical","2005","A book titled Rachel & Leah (Women of Genesis  #3) written by Orson Scott Card belonging to the Historical genre."
"2223","How to Write Science Fiction and Fantasy","Orson Scott Card","Language","1990","A book titled How to Write Science Fiction and Fantasy written by Orson Scott Card belonging to the Language genre."
"2224","Saints","Orson Scott Card","Historical","2001","A book titled Saints written by Orson Scott Card belonging to the Historical genre."
"2225","Homebody","Orson Scott Card","Horror;Fantasy;Fiction;Mystery;Science Fiction;Science Fiction Fantasy;Fantasy","1999","A book titled Homebody written by Orson Scott Card belonging to the Horror;Fantasy;Fiction;Mystery;Science Fiction;Science Fiction Fantasy;Fantasy genre."
"2226","Rebekah (Women of Genesis  #2)","Orson Scott Card","Historical","2012","A book titled Rebekah (Women of Genesis  #2) written by Orson Scott Card belonging to the Historical genre."
"2227","Speaker for the Dead (Ender's Saga  #2)","Orson Scott Card","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Young Adult;Audiobook;Space;Science Fiction","1994","A book titled Speaker for the Dead (Ender's Saga  #2) written by Orson Scott Card belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Young Adult;Audiobook;Space;Science Fiction genre."
"2228","Red Prophet (Tales of Alvin Maker  #2)","Orson Scott Card","Fantasy;Fiction;Science Fiction","1992","A book titled Red Prophet (Tales of Alvin Maker  #2) written by Orson Scott Card belonging to the Fantasy;Fiction;Science Fiction genre."
"2229","The Call of Earth (Homecoming  #2)","Orson Scott Card","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Adult;Audiobook;Religion;Space","1994","A book titled The Call of Earth (Homecoming  #2) written by Orson Scott Card belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Adult;Audiobook;Religion;Space genre."
"2230","Shadow of the Hegemon (Shadow  #2)","Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers","Science Fiction;Fiction;Science Fiction Fantasy;Fantasy;Young Adult;Audiobook;Adventure;Novels;Space;War","2006","A book titled Shadow of the Hegemon (Shadow  #2) written by Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers belonging to the Science Fiction;Fiction;Science Fiction Fantasy;Fantasy;Young Adult;Audiobook;Adventure;Novels;Space;War genre."
"2231","Enchantment","Orson Scott Card","Fantasy;Fiction;Fantasy","2005","A book titled Enchantment written by Orson Scott Card belonging to the Fantasy;Fiction;Fantasy genre."
"2232","Voyage of Slaves (Flying Dutchman  #3)","Brian Jacques/David Elliot","Fantasy;Young Adult;Fiction;Historical","2006","A book titled Voyage of Slaves (Flying Dutchman  #3) written by Brian Jacques/David Elliot belonging to the Fantasy;Young Adult;Fiction;Historical genre."
"2233","High Rhulain (Redwall  #18)","Brian Jacques/David Elliot","Fantasy;Fiction;Young Adult;Animals;Childrens;Adventure;Childrens","2005","A book titled High Rhulain (Redwall  #18) written by Brian Jacques/David Elliot belonging to the Fantasy;Fiction;Young Adult;Animals;Childrens;Adventure;Childrens genre."
"2234","Salamandastron (Redwall  #5)","Brian Jacques/Gary Chalk","Fantasy;Fiction;Young Adult;Childrens;Animals;Adventure;Childrens","2003","A book titled Salamandastron (Redwall  #5) written by Brian Jacques/Gary Chalk belonging to the Fantasy;Fiction;Young Adult;Childrens;Animals;Adventure;Childrens genre."
"2235","The Legend of Luke (Redwall  #12)","Brian Jacques","Fantasy;Young Adult;Fiction;Childrens;Adventure;Animals;Childrens","2005","A book titled The Legend of Luke (Redwall  #12) written by Brian Jacques belonging to the Fantasy;Young Adult;Fiction;Childrens;Adventure;Animals;Childrens genre."
"2236","Redwall (Redwall  #1)","Brian Jacques","Fantasy;Fiction;Young Adult;Childrens;Animals;Adventure;Childrens","2006","A book titled Redwall (Redwall  #1) written by Brian Jacques belonging to the Fantasy;Fiction;Young Adult;Childrens;Animals;Adventure;Childrens genre."
"2237","Castaways of the Flying Dutchman (Flying Dutchman  #1)","Brian Jacques/Ian Schoenherr","Fantasy;Young Adult;Fiction;Historical","2003","A book titled Castaways of the Flying Dutchman (Flying Dutchman  #1) written by Brian Jacques/Ian Schoenherr belonging to the Fantasy;Young Adult;Fiction;Historical genre."
